first_name,middle_name,last_name,email,do_not_call,p2ptext_optout,mobile_phone,home_phone,work_phone,best_phone,join_date,xdate,membership_status,memb_status_letter,membership_type,monthly_dues_status,yearly_dues_status,union_member,union_name,union_local,accomodations,race,student_yes_no,student_school_name,mailing_pref,actionkit_id,dsa_chapter,ydsa_chapter,congressional_district,address1,address2,city,state,zip,country,lat,lon
Elizabeth,,Rangel,claudiaarnold@example.net,,,,7477232635,,7477232635,2021-09-07,2023-06-30,Member,M,income-based,past_due,canceled_by_admin,"Yes, retired union member",SEIU,5150,,White / of European Descent,,,Yes,569191,Maine,,ME_02,07217 Mcdaniel Village,Apt. 624,Cannonfurt,MO,04967,US,,
Bradley,,Johnson,stephenmaldonado@example.org,,TRUE,,,,,1997-02-28,2020-11-25,Lapsed,L,yearly,canceled_by_failure,canceled_by_admin,"Yes, current union member",UFCW,5282,,Native American / Indigenous,"Yes, high school student",NETTIE MARSHALL ACADEMY OF DUAL LANGUAGE,No,466483,Maine,,ME_02,52 Main Street,,Bradley,Maine,04411,,44.921057,-68.628159
Michael,,Craig,lperez@example.net,True,,,,,,2015-04-21,2017-07-25,Lapsed,L,monthly,lapsed,canceled_by_failure,"No, not a union member",,,,Pacific Islander,,,Membership card only,595596,Maine,,ME_01,3 Main Street,,Steep Falls,Maine,04085,,43.793965,-70.652558
Michael,,Fisher,allison84@example.org,True,,990-245-4224,457-696-0860,,990-245-4224,1992-12-28,2010-06-27,Lapsed,L,annual,canceled_by_admin,,"No, not a union member",,,,Hispanic / Latinx,"Yes, graduate student",INFANT TODDLER AT LINCOLN NORTH STAR HIGH SCHOOL,Yes,706902,Maine,,ME_01,1479 Greenwood Road,,Greenwood,Maine,04255,,44.318444,-70.651016
Aaron,,Lopez,allison16@example.net,,,625-591-7096,7107648400,,625-591-7096,2011-11-01,2013-03-22,Lapsed,L,annual,canceled_by_processor,,Currently organizing my workplace,,,,White / of European Descent,,,No,38125,Maine,,ME_01,56 Sewall Street,,Augusta,Maine,04330,,44.311341,-69.783108
Lisa,,Mathis,martinlynch@example.com,,TRUE,7636281374,6375959517,,7636281374,2008-05-17,2021-05-20,Lapsed,L,monthly,canceled_by_failure,canceled_by_failure,Currently organizing my workplace,,,,Asian,"Yes, graduate student",Vaughan Elementary,Yes,87491,Maine,,ME_01,8 King Row,,Deer Isle,Maine,04627,,44.224044,-68.677597
Joseph,,Kirk,sarah14@example.net,,,4816617503,,,4816617503,2004-12-14,2008-06-30,Lapsed,L,monthly,past_due,canceled_by_user,"No, not a union member",,,,Pacific Islander,"Yes, college student",Voorhees Middle School,No,449051,Maine,,ME_02,351 Paris Road,,Hebron,Maine,04238,,44.197101,-70.406203
Melissa,,Baker,fclay@example.com,,TRUE,9606149855,9134331248,,9606149855,1993-01-08,2020-08-31,Lapsed,L,yearly,canceled_by_failure,canceled_by_processor,"No, but former union member",,,,Hispanic / Latinx,,,No,930352,Maine,,ME_02,20 Niblic Cir,,Chebeague Island,Maine,04017,,43.729469,-70.111319
Kelli,,Bradley,oconnellmichele@example.net,,,849-832-1437,798-257-1907,,849-832-1437,1995-09-24,2018-11-02,Lapsed,L,monthly,canceled_by_processor,canceled_by_failure,"Yes, current union member",UFCW,3706,,Asian,No,,Yes,971445,Maine,,ME_02,16 Davis Lane,,Greenville Junction,Maine,04442,,45.491087,-69.61593
Jennifer,,Rodriguez,christopherweiss@example.com,,,(316)903-1334,,,(316)903-1334,1992-11-17,2009-05-20,Lapsed,L,yearly,past_due,canceled_by_user,"No, not a union member",,,,Jewish,"Yes, college student",Edgewater Elementary School,No,621835,Maine,,ME_02,5 Beam Street,,Stockholm,Maine,04783,,47.042522,-68.139954
James,,Perry,raymond19@example.org,,TRUE,896-716-4698,5868400142,,896-716-4698,1987-11-18,2011-04-09,Lapsed,L,one-time,canceled_by_processor,canceled_by_user,Currently organizing my workplace,,,,Prefer Not to Say,"Yes, graduate student",UTICA ELEM. / MIDDLE SCHOOL,Yes,578131,Maine,,ME_02,68 Village Road,,Steuben,Maine,04680,,44.510634,-67.965281
Amanda,,Buckley,kellykristina@example.com,,,,,,,1994-11-10,2020-01-17,Lapsed,L,one-time,canceled_by_processor,,"No, but former union member",,,,White / of European Descent,"Yes, high school student",Sewanee Elementary,No,591213,Maine,,ME_01,8 Church Street,,East Boothbay,Maine,04544,,43.864411,-69.584086
Andrea,,Smith,qaguilar@example.org,,,(762)247-7189,315-359-8917,,(762)247-7189,2014-09-11,2019-02-16,Lapsed,L,monthly,canceled_by_failure,canceled_by_processor,"Yes, current union member",,3362,,Jewish,No,,Yes,648760,Maine,,ME_01,726 Egypt Road,,Westfield,Maine,04787,,46.570663,-67.922974
Diane,,Adams,nealsamantha@example.org,,,4263293032,,,4263293032,2000-11-27,2004-05-29,Lapsed,L,annual,canceled_by_failure,canceled_by_admin,"Yes, current union member",AFSCME,3690,,Jewish,"Yes, high school student",CONDIT EL,No,221499,Maine,,ME_02,17 Mechanic Street,,Camden,Maine,04843,,44.210265,-69.065552
Regina,,Thompson,stephengreen@example.org,,,486-334-0061,766-741-2511,,486-334-0061,2014-08-17,2020-12-28,Lapsed,L,income-based,past_due,,,,,,White / of European Descent,"Yes, graduate student",Ontario Middle School,Yes,964222,Maine,,ME_02,435 Merrill Hill Road,,Parsonsfield,Maine,04047,,43.727445,-70.929108
Matthew,,Webb,cory09@example.net,,,(776)549-0924,,,(776)549-0924,2001-05-06,2016-11-21,Lapsed,L,yearly,lapsed,canceled_by_failure,"No, not a union member",,,,Native American / Indigenous,"Yes, high school student",RIPLEY HOUSE CHARTER SCHOOL,Membership card only,382994,Maine,,ME_01,543 Hope Road,,Lincolnville,Maine,04849,,44.29604,-69.10973
Victoria,,Dunn,michaelnelson@example.com,,TRUE,,,,,1991-03-31,2006-07-19,Lapsed,L,income-based,past_due,canceled_by_user,"Yes, current union member",AFT,3030,,Pacific Islander,No,,Membership card only,96331,Maine,,ME_01,1 Windsor Street,,Randolph,Maine,04346,,44.230348,-69.766711
